2018.11.03 17:26:23.031 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:23.046 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2019_01] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2019_01].EmployeeID='93' 
2018.11.03 17:26:23.081 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2019_01] Values(93,'3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3')
2018.11.03 17:26:23.113 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:23.119 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2019_01] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2019_01].EmployeeID='94' 
2018.11.03 17:26:23.128 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2019_01] Values(94,'7','休','7','7','7','休','7','7','休','7','7','7','休','7','7','休','7','7','7','休','7','7','休','7','7','7','休','7','7','休','7')
2018.11.03 17:26:23.143 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:23.149 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2019_01] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2019_01].EmployeeID='95' 
2018.11.03 17:26:23.152 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2019_01] Values(95,'4','休','4','4','4','休','4','4','休','4','4','4','休','4','4','休','4','4','4','休','4','4','休','4','4','4','休','4','4','休','4')
2018.11.03 17:26:23.171 | TRC | 0 | 1 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
